timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
91822,30.34,0.741699,-0.339111,-0.687744,12.939453,68.725586,-35.705566,1.066821,78.520845
91842,53.80,0.751221,-0.396973,-0.759033,17.700195,65.795898,-31.616211,1.139321,75.113128
91862,61.90,0.885376,-0.338989,-0.811646,-14.892578,58.471680,-23.254395,1.248028,64.664465
91882,93.43,0.931396,-0.271362,-0.797729,-25.512695,54.321289,-21.789551,1.255989,63.847354
91902,109.23,0.979126,-0.232056,-0.866333,-28.564453,49.804688,-23.437500,1.327807,62.014122
91922,124.99,0.990967,-0.171753,-0.936890,-36.010742,46.875000,-23.986816,1.374510,63.791900
91942,153.94,0.954834,-0.162354,-1.014893,-34.973145,42.968750,-27.038574,1.402880,61.648348
91962,175.51,0.954224,-0.241089,-1.144775,-25.878906,36.621094,-29.479980,1.509694,53.664621
91982,195.05,0.924194,-0.356323,-1.253418,-24.963379,32.287598,-29.296875,1.597548,50.239090
92002,204.20,0.843018,-0.479492,-1.370850,-21.362305,17.578125,-21.118164,1.679232,34.803957
92022,235.71,0.808838,-0.539062,-1.407837,-16.723633,5.249023,-11.657715,1.710793,21.050759
92042,254.19,0.787720,-0.507324,-1.383301,-13.427734,-9.033203,1.525879,1.670749,16.255187
92062,267.26,0.808716,-0.368286,-1.266235,-0.061035,-16.906738,10.925293,1.546935,20.129668
92082,283.01,0.746704,-0.336548,-1.131836,40.222168,-24.536133,16.906738,1.397098,50.056792
92102,314.47,0.754028,-0.312012,-1.143433,39.184570,-30.761719,21.911621,1.404759,54.422725
92122,330.25,0.761719,-0.266357,-1.051392,6.347656,-32.775879,27.770996,1.325363,43.425559
92142,354.16,0.874756,-0.137329,-0.993286,12.573242,-32.897949,29.663086,1.330667,46.046283
92162,361.73,0.890991,-0.077759,-1.103760,39.672852,-32.836914,29.113770,1.420633,59.159189
92182,393.20,0.870850,-0.051025,-1.244507,65.673828,-35.644531,28.808594,1.519796,80.084452
92202,408.95,0.844238,-0.051514,-1.421265,95.458984,-47.180176,27.709961,1.653900,110.028308
92222,424.67,0.886841,-0.048218,-1.493530,101.074219,-58.837891,26.672363,1.737655,119.955450
92242,454.58,0.913940,-0.001221,-1.429199,95.092773,-80.505371,23.437500,1.696437,126.779599
92262,475.50,0.958130,0.009766,-1.313477,98.754883,-94.665527,19.409180,1.625832,138.169480
92282,494.85,0.931274,0.001221,-1.207153,105.041504,-113.769531,12.023926,1.524629,155.311940
92302,504.48,0.885254,-0.067017,-1.003418,110.656738,-123.229980,7.385254,1.339781,165.786259
92322,520.18,0.848999,-0.112305,-0.830078,106.750488,-129.760742,3.723145,1.192661,168.069565
92342,554.88,0.787109,-0.041016,-0.579346,98.266602,-140.014648,1.281738,0.978195,171.061596
92362,567.45,0.747803,-0.046021,-0.446655,89.233398,-146.240234,-1.464844,0.872254,171.321193
92382,583.16,0.682617,-0.018066,-0.300171,79.040527,-150.024414,-7.690430,0.745919,169.746495
92402,614.77,0.537842,0.010132,-0.062866,83.129883,-152.160645,-11.840820,0.541598,173.791957
92422,630.53,0.491211,-0.061035,0.098267,101.806641,-155.151367,-15.014648,0.504648,186.177277
92442,654.99,0.386230,-0.037109,0.360962,119.934082,-154.602051,-23.071289,0.529948,197.023508
