timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
246828,31.69,0.220947,-0.884399,-0.069946,-9.338379,-8.300781,-0.915527,0.914261,12.527828
246848,47.39,0.209229,-0.880981,-0.060303,-4.760742,-5.920410,-1.342773,0.907492,7.714853
246868,63.09,0.221191,-0.941528,-0.053833,-0.305176,-1.953125,-2.319336,0.968658,3.047482
246888,79.00,0.224243,-0.961670,-0.058960,-5.004883,1.464844,-3.051758,0.989227,6.042172
246908,110.54,0.214111,-0.997925,-0.070923,-2.685547,5.981445,-3.234863,1.023097,7.311237
246928,132.71,0.209351,-1.084229,-0.120850,0.549316,8.911133,-2.380371,1.110848,9.239924
246948,152.90,0.190063,-1.119995,-0.171143,-0.061035,11.047363,-0.183105,1.148827,11.049049
246968,170.05,0.186523,-1.092285,-0.201294,4.760742,9.216309,7.812500,1.126231,12.986153
246988,189.33,0.179565,-1.056274,-0.181763,9.704590,7.812500,12.329102,1.086737,17.527720
247008,205.42,0.180298,-0.996948,-0.143066,5.065918,8.300781,15.930176,1.023172,18.663788
247028,224.23,0.179199,-0.867798,-0.082764,3.540039,9.582520,16.357422,0.889964,19.285274
247048,239.16,0.187378,-0.745605,-0.056641,2.929688,12.878418,13.610840,0.770874,18.965539
247068,270.87,0.194458,-0.669678,0.007324,15.563965,21.179199,6.164551,0.697378,26.996244
247088,284.55,0.218994,-0.697998,-0.003784,12.756348,28.076172,-1.831055,0.731556,30.892533
247108,300.39,0.206909,-0.771240,-0.154663,-4.516602,38.330078,-12.695312,0.813353,40.629614
247128,332.05,0.216187,-0.864380,-0.334595,-2.624512,40.527344,-17.517090,0.951758,44.228973
247148,347.94,0.224243,-1.011475,-0.498047,6.469727,35.095215,-16.906738,1.149529,39.488850
247168,370.86,0.245239,-1.238525,-0.723145,13.671875,26.550293,-12.145996,1.455000,32.239160
247188,392.59,0.271484,-1.332031,-0.878174,12.084961,14.526367,-4.760742,1.618394,19.486567
247208,411.35,0.290649,-1.342896,-1.058350,8.056641,-9.033203,11.291504,1.734344,16.553135
247228,427.01,0.304565,-1.252075,-1.125488,10.375977,-28.808594,20.141602,1.710899,36.650785
247248,445.93,0.302979,-1.192017,-1.128662,12.451172,-61.279297,27.770996,1.669305,68.420846
247268,458.63,0.269531,-1.128296,-1.043091,11.474609,-82.031250,29.968262,1.560044,88.084558
247288,490.42,0.225708,-1.098511,-0.950684,6.591797,-100.891113,32.104492,1.470194,106.080945
247308,506.37,0.180054,-1.096802,-0.767090,8.422852,-124.267578,33.386230,1.350489,128.949664
