timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
64454,31.47,-0.083618,-0.725830,-0.104492,20.996094,0.549316,-24.536133,0.738065,32.297980
64474,47.45,-0.114258,-0.949097,-0.177734,12.023926,4.760742,-30.517578,0.972332,33.144563
64494,63.24,-0.131958,-1.242188,-0.281616,4.516602,4.211426,-25.512695,1.280527,26.249446
64515,94.77,-0.133789,-1.318115,-0.296265,-9.094238,0.976562,-10.314941,1.357608,13.786111
64535,110.60,-0.135986,-1.241089,-0.271240,-10.437012,-0.976562,-0.915527,1.277640,10.522503
64555,126.37,-0.133667,-1.127563,-0.231812,-4.699707,-1.220703,6.530762,1.158880,8.138072
64575,142.16,-0.103516,-0.969482,-0.159058,6.164551,0.488281,10.131836,0.987882,11.869886
64595,174.01,-0.094482,-0.909912,-0.147461,6.958008,2.502441,8.300781,0.926613,11.116612
64615,189.81,-0.094971,-0.858154,-0.160645,-5.920410,7.263184,2.502441,0.878211,9.698830
64635,205.54,-0.090942,-0.857422,-0.218628,-6.103516,9.460449,-0.915527,0.889517,11.295627
64655,221.28,-0.076172,-0.900757,-0.245361,2.685547,10.131836,-2.502441,0.936679,10.776292
64675,255.28,-0.134644,-0.846313,-0.172119,14.892578,9.338379,-2.624512,0.874071,17.773077
64695,273.69,-0.057617,-0.919189,-0.219849,45.227051,8.605957,-1.770020,0.946870,46.072569
64715,284.45,-0.104248,-1.039795,-0.287231,45.166016,6.896973,-3.234863,1.083763,45.803947
64735,300.16,-0.128296,-1.075439,-0.280518,20.751953,5.920410,-2.014160,1.118803,21.673755
64755,331.76,-0.134766,-1.079712,-0.279907,-10.498047,3.234863,1.586914,1.123516,11.099172
64775,347.57,-0.097534,-0.919922,-0.231323,-21.423340,2.929688,4.455566,0.953562,22.077016
64795,363.36,-0.082397,-0.807861,-0.188965,-12.817383,3.112793,4.638672,0.833749,13.981847
64815,394.79,-0.113281,-0.762573,-0.124146,13.732910,3.601074,-1.647949,0.780873,14.292526
64835,410.53,-0.113770,-0.806885,-0.076660,13.610840,6.408691,-5.065918,0.818464,15.874187
64855,426.26,-0.104858,-0.836426,-0.052734,-6.469727,13.671875,-12.817383,0.844621,19.825812
64875,442.02,-0.072876,-0.939697,-0.095825,-4.455566,20.019531,-15.686035,0.947378,25.820252
64895,473.86,-0.035278,-1.081177,-0.200073,10.681152,24.597168,-17.272949,1.100099,31.897687
64915,489.59,0.017334,-1.372314,-0.427612,30.456543,27.038574,-12.145996,1.437498,42.499538
64935,505.33,0.113403,-1.535522,-0.564575,35.827637,23.254395,-3.173828,1.639950,42.830592
64955,521.10,0.137085,-1.777954,-0.743896,43.579102,10.803223,14.404297,1.932174,47.152216
64975,552.65,0.140381,-1.885254,-0.807739,40.893555,1.464844,31.250000,2.055804,51.487776
64995,568.36,0.173706,-1.958618,-0.854492,19.958496,-12.756348,60.729980,2.143949,65.185861
