timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
225198,31.90,0.087524,-0.921021,-0.441650,-0.732422,31.738281,-6.591797,1.025180,32.423860
225218,49.44,0.084961,-1.041626,-0.533447,9.216309,26.062012,-2.136230,1.173358,27.726022
225239,61.67,0.101807,-1.066284,-0.551880,15.014648,12.329102,7.934570,1.204947,20.985800
225259,93.51,0.125244,-0.994995,-0.505371,10.681152,3.051758,13.488770,1.122988,17.474185
225279,115.80,0.125977,-0.891724,-0.434204,8.056641,-6.225586,15.625000,0.999787,18.649611
225299,134.48,0.166748,-0.784546,-0.336182,6.652832,-10.009766,13.061523,0.869675,17.749901
225319,145.12,0.171387,-0.769287,-0.280273,2.746582,-11.596680,7.873535,0.836498,14.283531
225339,173.10,0.174927,-0.786499,-0.244263,-1.464844,-12.145996,-1.037598,0.841929,12.277931
225359,188.99,0.166748,-0.843628,-0.233887,-4.394531,-11.657715,-5.371094,0.891188,13.566977
225379,204.85,0.154785,-0.895142,-0.236328,-9.521484,-11.169434,-9.643555,0.938663,17.561693
225399,220.86,0.148804,-0.951050,-0.237183,-10.742188,-10.925293,-9.765625,0.991410,18.169316
225419,252.53,0.156128,-0.978638,-0.233154,-9.948730,-10.375977,-9.399414,1.018071,17.175189
225439,268.48,0.138184,-1.011353,-0.225952,-5.432129,-9.338379,-6.469727,1.045458,12.592486
225459,286.62,0.140381,-1.019531,-0.222046,-1.770020,-8.544922,-3.540039,1.052832,9.417034
225479,316.06,0.145508,-1.005493,-0.213257,-0.061035,-6.835938,-1.159668,1.038108,6.933873
225499,332.09,0.149536,-1.001709,-0.213013,-0.427246,-6.042480,-0.061035,1.034967,6.057874
225519,348.09,0.147461,-0.999756,-0.217041,-2.319336,-5.065918,0.549316,1.033617,5.598624
225539,363.98,0.147095,-0.989380,-0.229370,-4.272461,-4.516602,1.342773,1.026216,6.360554
225559,395.53,0.151611,-0.980469,-0.229492,-3.295898,-3.967285,1.708984,1.018318,5.433500
225579,411.47,0.149536,-0.969482,-0.235229,-0.305176,-3.356934,2.624512,1.008757,4.272025
225599,427.39,0.155396,-0.959473,-0.242065,-1.525879,-2.990723,3.051758,1.001664,4.537175
225619,455.34,0.160522,-0.968872,-0.245483,-0.854492,-2.746582,1.708984,1.012296,3.345818
225639,474.86,0.145020,-0.990112,-0.259766,-1.342773,-2.685547,1.892090,1.033843,3.548973
225659,490.55,0.151123,-0.983398,-0.263306,-2.929688,-2.807617,3.173828,1.029194,5.151599
225679,506.54,0.150391,-0.950073,-0.255981,-0.610352,-2.868652,4.638672,0.995381,5.488075
225699,522.55,0.147095,-0.930542,-0.252075,2.136230,-2.563477,5.798340,0.975237,6.689965
225719,554.37,0.154663,-0.918701,-0.274902,6.774902,-2.075195,5.249023,0.971341,8.818049
225739,570.36,0.163574,-0.920166,-0.283203,7.995605,-2.014160,4.638672,0.976558,9.460646
225759,594.40,0.172241,-0.917480,-0.293457,6.713867,-2.563477,3.540039,0.978547,8.011198
225779,614.19,0.194336,-0.923340,-0.314209,2.502441,-4.089355,1.831055,0.994510,5.132037
225799,633.75,0.206299,-0.942505,-0.329956,-0.732422,-5.249023,0.000000,1.019679,5.299876
225819,649.07,0.223022,-0.995239,-0.383911,-5.676270,-7.568359,-1.464844,1.089783,9.573185
225839,664.80,0.226929,-1.020142,-0.413818,-8.666992,-9.277344,-1.037598,1.124025,12.738229
225859,680.56,0.237183,-1.077148,-0.453369,-2.746582,-14.709473,0.488281,1.192497,14.971664
225879,712.30,0.262207,-1.204834,-0.550293,-1.464844,-19.836426,2.380371,1.350259,20.032367
225899,734.94,0.239868,-1.313110,-0.629883,-5.432129,-27.404785,7.507324,1.475990,28.929054
225919,755.11,0.252075,-1.479004,-0.727539,-12.023926,-43.151855,20.202637,1.667425,49.140655
225939,775.76,0.237793,-1.537231,-0.777466,-14.709473,-56.579590,32.470703,1.738988,66.872753
225959,794.45,0.203003,-1.531372,-0.767456,-8.911133,-79.772949,53.588867,1.724906,96.513721
225979,807.48,0.164795,-1.426758,-0.669434,2.075195,-95.092773,67.382812,1.584593,116.564941
225999,835.73,0.118286,-1.290161,-0.587402,6.530762,-108.642578,77.697754,1.422515,133.726593
226019,855.01,0.065186,-1.017334,-0.401978,24.108887,-126.708984,90.209961,1.095812,157.398355
226039,870.71,0.006104,-1.062378,-0.285889,51.696777,-140.380859,90.820312,1.100189,175.007633
226059,895.87,-0.253540,-1.347900,0.101562,85.693359,-161.682129,84.838867,1.375294,201.698032
226079,902.39,-0.597290,-1.573608,0.590088,106.445312,-178.649902,85.144043,1.783593,224.712928
226099,934.11,-0.849243,-1.774536,1.376343,63.659668,-206.176758,82.946777,2.400940,231.174343
226119,949.82,-1.657227,-1.602295,3.878540,-39.306641,-198.730469,83.801270,4.511853,219.229250
226139,965.94,-1.521729,0.386353,3.999512,-230.041504,-116.394043,82.763672,4.296629,270.770183
226159,982.04,-2.247803,3.603271,3.999512,-296.752930,209.655762,74.279785,5.833719,370.857555
226179,1013.39,-3.999512,3.999512,3.999512,-180.114746,485.168457,-81.420898,6.927358,523.888458
226199,1029.19,-3.999512,3.999512,3.999512,31.188965,876.892090,-364.257812,6.927358,950.050653
226219,1045.18,-3.999512,3.637085,3.899536,2.807617,897.705078,-555.175781,6.665648,1055.510511
226239,1060.88,-3.999512,-0.201782,-3.999512,145.324707,657.897949,-657.531738,5.659762,941.433465
226259,1092.93,-3.999512,-3.999512,-3.999512,-398.254395,200.683594,-739.074707,6.927358,863.198639
226279,1108.74,-3.599731,-3.999512,-3.642822,-443.908691,-81.909180,-592.224121,6.498024,744.643169
226299,1132.56,-1.852539,-3.999512,1.599976,-34.851074,-128.845215,-214.111328,4.689128,252.308041
226319,1156.09,-1.004150,-3.999512,1.938110,130.920410,-18.920898,-7.385254,4.556389,132.486589
226339,1171.91,-1.039551,-2.846069,0.670044,135.986328,48.706055,125.549316,3.103181,191.382319
226359,1195.32,-0.765869,-0.293213,-0.637329,111.450195,54.077148,117.736816,1.038613,170.901849
226379,1211.67,-0.522339,0.078979,-0.930176,105.285645,24.169922,70.373535,1.069721,128.925120
226399,1235.59,-0.425781,-0.443115,-0.777588,57.189941,-19.409180,-7.812500,0.991102,60.896969
226419,1251.36,-0.438965,-1.006226,-0.557373,34.240723,-36.743164,-28.198242,1.231196,57.598855
226439,1267.32,-0.425659,-1.388184,-0.288330,22.521973,-50.231934,-26.977539,1.480329,61.304763
226459,1283.07,-0.470215,-1.847290,0.035034,18.432617,-50.659180,-13.244629,1.906518,55.511567
226479,1314.47,-0.535278,-1.955200,0.170898,6.652832,-45.532227,8.239746,2.034339,46.747591
226499,1330.46,-0.586792,-1.766479,0.267212,-3.967285,-28.503418,49.926758,1.880473,57.626950
226519,1346.40,-0.626465,-1.507568,0.189453,10.253906,-14.709473,73.425293,1.643506,75.582967
226539,1362.59,-0.637695,-1.277344,0.043335,53.894043,-0.976562,96.923828,1.428335,110.904238
226559,1394.55,-0.659546,-1.074951,-0.166504,70.678711,1.159668,103.393555,1.272102,125.247963
226579,1410.71,-0.645874,-0.999878,-0.258423,71.899414,-0.793457,105.773926,1.218069,127.899487
226599,1426.79,-0.624634,-0.955933,-0.313354,52.062988,-6.286621,102.722168,1.184131,115.333951
226619,1442.56,-0.597046,-0.961182,-0.339600,31.127930,-9.826660,99.792480,1.181381,104.995478
226639,1474.54,-0.549194,-1.055420,-0.440552,-0.183105,-14.282227,97.290039,1.268705,98.332941
226659,1490.47,-0.555786,-1.144043,-0.529541,-5.187988,-18.188477,101.684570,1.377732,103.428660
226679,1506.42,-0.588745,-1.244751,-0.618896,2.075195,-30.151367,118.164062,1.509655,121.967853
226699,1522.19,-0.619263,-1.492188,-0.780396,30.822754,-42.541504,131.652832,1.794193,141.747275
226719,1555.86,-0.733887,-1.568359,-0.789307,38.696289,-58.227539,152.099609,1.902983,167.398149
226739,1575.64,-0.726807,-1.160522,-0.578613,21.423340,-77.148438,187.988281,1.486558,204.329231
226759,1585.40,-0.639893,-0.576660,-0.283936,18.676758,-82.214355,196.289062,0.906983,213.629159
226779,1600.75,-0.659546,-0.297729,-0.048340,72.692871,-87.524414,188.842773,0.725245,220.468523
226799,1632.33,-0.685425,0.373169,0.073608,110.778809,-88.378906,181.335449,0.783888,230.141958
226819,1649.36,-0.827271,-0.240967,0.004883,105.712891,-84.838867,188.781738,0.861664,232.403514
226839,1675.94,-0.272339,-0.161011,-0.175171,70.922852,-76.965332,166.076660,0.361632,196.303770
