timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
33629,10.01,0.621460,-0.037231,0.665894,-22.033691,-23.010254,-10.559082,0.911599,33.562621
33651,41.69,0.641113,0.146851,0.658081,-62.561035,23.498535,-7.690430,0.930410,67.269659
33670,57.82,0.569336,0.284790,0.617065,-40.588379,91.979980,-2.807617,0.886577,100.576419
33690,73.73,0.597778,0.191284,0.148804,4.150391,128.479004,0.000000,0.645036,128.546024
33710,99.99,0.744629,0.091431,-0.322144,-0.915527,160.705566,3.906250,0.816461,160.755641
33731,121.52,0.508057,-0.004639,-1.180542,-125.061035,163.635254,3.662109,1.285232,205.985849
33750,138.07,0.543335,0.064209,-1.654419,-163.024902,130.798340,-6.103516,1.742538,209.099444
33770,153.63,0.908691,-0.039673,-2.102783,-91.613770,34.118652,-13.427734,2.291068,98.678616
33790,169.59,0.847778,-0.007935,-1.892334,-48.645020,-33.325195,-9.765625,2.073576,59.768503
33811,201.21,0.688843,-0.114258,-1.379028,-11.047363,-108.459473,-1.403809,1.545729,109.029685
33830,223.10,0.463501,-0.145752,-0.593872,21.850586,-134.338379,1.403809,0.767308,136.111053
33850,232.86,0.442139,-0.160889,-0.121582,28.808594,-138.549805,3.479004,0.485957,141.555950
33870,264.51,0.491089,-0.085083,0.398560,29.296875,-117.309570,7.324219,0.638167,121.134167
33891,280.14,0.559692,0.019165,0.635986,41.687012,-90.637207,7.141113,0.847409,100.019527
33910,304.38,0.658447,0.116455,0.812866,50.781250,-54.199219,7.934570,1.052552,74.694364
33930,324.17,0.757202,0.022339,0.846680,38.635254,10.803223,9.277344,1.136099,41.175983
33950,343.72,0.844116,-0.033203,0.506470,43.273926,62.561035,8.361816,0.984960,76.527353
33971,359.39,0.981201,-0.006104,-0.209961,23.010254,143.310547,3.540039,1.003432,145.189244
33990,375.05,0.644775,-0.060059,-0.780518,-32.287598,171.264648,-1.281738,1.014175,174.286292
34010,400.27,0.510620,0.028442,-1.570312,-126.464844,111.572266,-12.451172,1.651491,169.105762
34030,424.32,0.945923,0.026855,-2.226074,-49.926758,43.090820,-15.686035,2.418863,67.790498
34051,438.12,0.978027,-0.211304,-2.139404,-4.150391,-32.958984,-9.704590,2.361829,34.607795
34070,453.98,0.637451,-0.161621,-1.364014,-32.287598,-124.633789,-0.427246,1.514265,128.748798
34090,483.91,0.475220,-0.033447,-0.588989,-39.428711,-152.099609,5.432129,0.757536,157.220935
34110,503.70,0.636475,0.057373,0.073975,21.057129,-148.925781,10.498047,0.643322,150.773008
34131,525.48,0.761841,0.066284,0.733032,40.222168,-118.469238,12.145996,1.059307,125.699278
34150,544.35,0.821533,0.129395,0.914429,16.174316,-73.303223,14.648438,1.236058,76.482336
34170,563.19,1.003784,0.173706,1.020142,-14.526367,10.009766,14.160156,1.441681,22.621246
34190,582.72,1.070801,0.073242,0.472412,10.559082,68.603516,5.310059,1.172669,69.614175
34211,604.11,0.826538,0.033691,-0.035522,4.394531,143.798828,-6.103516,0.827987,143.995374
34230,624.15,0.538818,-0.111572,-0.560913,-70.007324,161.437988,-11.718750,0.785746,176.353561
34250,643.89,0.585693,-0.059814,-1.043945,-147.216797,123.413086,-20.141602,1.198514,193.156049
34270,659.69,0.778198,0.001587,-1.495117,-77.819824,81.726074,-19.348145,1.685518,114.496406
34291,675.40,0.857910,-0.102905,-1.437256,-2.685547,39.245605,-11.657715,1.676992,41.028429
34310,700.44,0.815674,-0.234863,-1.125244,43.640137,-12.390137,-0.671387,1.409489,45.369900
34330,723.45,0.747681,-0.174805,-0.739014,29.174805,-31.005859,4.211426,1.065704,42.781639
34350,739.51,0.789307,-0.099365,-0.480103,36.926270,-33.935547,6.835938,0.929181,50.615223
34371,755.32,0.841187,-0.064453,-0.281006,44.616699,-22.094727,6.530762,0.889221,50.214317
34390,774.43,0.813843,-0.042114,-0.247192,30.639648,-7.690430,6.042480,0.851597,32.162748
34410,802.78,0.821289,0.002930,-0.279785,1.831055,12.939453,2.319336,0.867643,13.272586
34430,824.61,0.803711,0.017212,-0.331543,-6.958008,25.451660,-1.281738,0.869579,26.416732
34451,844.16,0.778442,0.021118,-0.470459,-11.718750,35.156250,-5.554199,0.909808,37.471858
34470,850.25,0.805542,0.029785,-0.541016,-12.878418,36.499023,-8.300781,0.970816,39.584534
34490,884.01,0.787354,0.024658,-0.616699,-12.573242,34.118652,-10.803223,1.000426,37.932552
34510,900.69,0.799316,0.000000,-0.662109,-9.033203,27.832031,-11.535645,1.037928,31.453010
34531,914.22,0.789185,-0.025391,-0.669067,-0.427246,23.193359,-11.474609,1.034944,25.880130
34550,929.92,0.781616,-0.094360,-0.648071,11.169434,17.150879,-10.864258,1.019718,23.171987
34570,961.27,0.779175,-0.114136,-0.624146,9.643555,14.526367,-10.070801,1.004837,20.135405
34590,982.95,0.792236,-0.107056,-0.613037,5.737305,14.465332,-8.544922,1.007429,17.753258
