timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
62742,31.87,0.891479,0.130371,0.353394,12.329102,-74.157715,10.864258,0.967791,75.956603
62762,47.58,0.940674,0.141357,0.587524,-8.178711,-54.931641,7.324219,1.118049,56.018038
62782,67.62,0.976562,0.252686,0.685547,-27.526855,-4.699707,2.929688,1.219631,28.078427
62803,94.98,0.942017,0.224121,0.770386,2.868652,35.766602,-2.258301,1.237384,35.952453
62823,110.74,0.995361,0.037842,0.445435,25.817871,75.439453,-8.117676,1.091141,80.147178
62843,126.52,0.967041,-0.007080,-0.095459,-10.009766,121.948242,-18.005371,0.971767,123.676039
62863,158.01,0.862427,-0.112183,-0.524048,-45.959473,131.225586,-23.620605,1.015377,141.033189
62884,173.70,0.681885,-0.184814,-0.965210,-69.580078,88.500977,-21.728516,1.196141,114.655739
62903,189.43,0.931030,-0.236084,-1.320923,-24.414062,40.649414,-12.756348,1.633215,49.103419
62923,205.17,0.934204,-0.200806,-1.166870,-13.061523,-19.897461,4.333496,1.508193,24.192799
62943,236.69,0.842773,-0.094849,-0.683838,5.310059,-48.889160,12.451172,1.089448,50.728477
62963,257.72,0.809204,-0.043945,-0.327881,13.183594,-63.232422,17.089844,0.874213,66.814737
62983,268.62,0.843872,0.089844,0.209961,10.070801,-58.715820,17.395020,0.874229,62.060900
63003,284.35,0.875732,0.158691,0.412598,9.887695,-42.358398,15.319824,0.980983,46.116130
63023,316.02,0.914185,0.159790,0.514771,1.220703,-0.854492,8.483887,1.061252,8.613745
63043,331.77,1.061890,0.117554,0.277954,2.746582,34.240723,-0.366211,1.103942,34.352655
63063,347.50,0.969971,0.088257,0.134033,1.159668,66.772461,-8.422852,0.983157,67.311595
63083,367.84,0.859741,-0.015503,-0.316406,-14.038086,87.768555,-17.761230,0.916247,90.641317
63103,395.20,0.772949,-0.062378,-0.582275,-32.653809,77.392578,-18.615723,0.969735,86.037361
63123,410.96,0.917114,-0.095093,-0.863037,-23.681641,39.306641,-13.732910,1.262923,47.900156
63143,426.73,0.949707,-0.097900,-0.800537,-12.878418,15.563965,-9.338379,1.245948,22.255246
63163,458.22,0.947632,-0.094849,-0.661499,-4.760742,-2.807617,-3.234863,1.159562,6.404039
63183,473.94,0.909790,-0.091309,-0.398071,8.850098,-17.578125,-1.525879,0.997254,19.739377
63203,489.69,0.883423,-0.095703,-0.222778,15.991211,-19.042969,0.488281,0.916092,24.871508
63223,505.41,0.948486,-0.072266,-0.057251,15.930176,-8.483887,2.746582,0.952957,18.256247
63243,536.97,0.985229,-0.010254,-0.068848,10.192871,3.540039,2.380371,0.987685,11.049555
63263,552.74,0.957031,-0.074097,-0.103760,-2.197266,24.047852,2.014160,0.965487,24.231879
63283,568.88,0.906860,-0.023438,-0.216797,-2.990723,32.104492,1.953125,0.932709,32.302593
63303,584.63,0.897461,-0.064697,-0.307739,1.342773,34.423828,1.525879,0.950960,34.483783
63323,616.30,0.893311,-0.057373,-0.432861,-4.333496,30.212402,1.342773,0.994316,30.551129
63343,632.04,0.900513,-0.049194,-0.471558,-7.324219,24.719238,0.793457,1.017698,25.793691
63363,647.80,0.883667,-0.044434,-0.495361,-0.732422,14.831543,0.549316,1.014014,14.859773
63383,669.26,0.906250,-0.062744,-0.477905,2.990723,9.094238,0.915527,1.026460,9.617057
63403,695.12,0.907227,-0.044922,-0.473267,1.464844,4.333496,0.488281,1.024236,4.600367
63423,710.88,0.906982,-0.008179,-0.416138,-3.356934,0.488281,-0.366211,0.997925,3.411969
63443,726.64,0.894775,-0.023193,-0.360474,-4.089355,-0.671387,-0.427246,0.964936,4.166069
63463,758.14,0.912354,-0.033813,-0.325439,2.075195,-0.366211,-1.403809,0.969249,2.532040
63483,773.86,0.919189,-0.025391,-0.312134,0.061035,1.831055,-1.892090,0.971072,2.633722
63503,789.57,0.909180,-0.050415,-0.291260,-2.868652,5.065918,-2.258301,0.956024,6.244407
63523,805.32,0.916870,-0.050415,-0.319702,-0.305176,6.530762,-2.624512,0.972318,7.045001
63543,836.84,0.926270,-0.052734,-0.336304,-2.075195,7.385254,-2.929688,0.986842,8.211667
63563,852.59,0.899780,-0.050537,-0.348145,-5.615234,7.263184,-2.502441,0.966107,9.515614
63583,868.23,0.912109,-0.042114,-0.369873,-3.479004,6.713867,-2.624512,0.985151,8.004220
63603,883.98,0.910278,-0.047852,-0.374268,-1.281738,5.798340,-2.990723,0.985379,6.648911
63623,915.44,0.906494,-0.041992,-0.366211,-1.281738,5.798340,-2.868652,0.978573,6.594904
63643,931.19,0.907104,-0.065674,-0.352539,-0.488281,6.408691,-2.563477,0.975416,6.919621
63663,946.91,0.904663,-0.065796,-0.349976,1.281738,6.958008,-2.014160,0.972228,7.356192
63683,978.32,0.897583,-0.075928,-0.344116,0.732422,7.019043,-1.708984,0.964280,7.261132
63703,994.10,0.898193,-0.047485,-0.348877,-1.220703,7.690430,-0.732422,0.964739,7.821078
63723,1009.83,0.902710,-0.000732,-0.371094,0.488281,8.544922,-0.183105,0.976010,8.560820
63743,1025.60,0.900513,0.034790,-0.402222,1.281738,9.338379,-0.549316,0.986872,9.441924
63763,1057.06,0.866821,0.126465,-0.467896,-4.699707,8.728027,-1.647949,0.993126,10.048952
63783,1072.75,0.870239,0.191406,-0.492676,-8.911133,7.324219,-3.601074,1.018176,12.083882
63803,1088.51,0.871460,0.298706,-0.520874,-15.808105,3.356934,-10.192871,1.058290,19.106539
63823,1104.34,0.874268,0.339722,-0.520142,-11.840820,0.000000,-16.235352,1.072521,20.094568
63843,1135.89,0.859619,0.368042,-0.515747,-5.187988,-4.882812,-25.756836,1.067893,26.723991
63863,1151.65,0.854248,0.339844,-0.546265,-0.915527,-6.652832,-30.944824,1.069410,31.665131
63883,1168.97,0.798706,0.343262,-0.462402,11.840820,-13.244629,-36.743164,0.984670,40.812808
63903,1183.58,0.758179,0.260010,-0.287231,28.869629,-23.071289,-43.212891,0.851435,56.860300
63923,1215.17,0.874023,0.132080,-0.303833,21.423340,-28.137207,-47.119141,0.934707,58.914135
63943,1230.93,0.834961,0.101562,-0.135010,26.550293,-26.672363,-50.109863,0.851882,62.668424
63963,1246.67,0.893311,-0.039429,0.116089,35.766602,-24.658203,-50.964355,0.901685,66.967472
63983,1278.10,0.982666,-0.031006,0.202148,36.682129,-16.784668,-52.124023,1.003722,65.910678
64003,1293.92,1.089233,-0.039917,0.229492,34.973145,5.371094,-51.696777,1.113862,62.646040
64023,1309.68,1.107300,-0.088989,0.212646,36.193848,28.808594,-48.706055,1.131040,67.172982
64043,1325.44,1.138794,-0.156738,-0.016724,44.067383,68.481445,-44.372559,1.149651,92.739239
64063,1356.90,1.213501,-0.335205,-0.381348,44.738770,93.322754,-42.358398,1.315436,111.825435
64083,1372.60,1.077637,-0.499023,-0.899780,14.160156,110.473633,-43.457031,1.489943,119.555205
64103,1388.32,0.856323,-0.628418,-1.766235,-5.310059,85.327148,-35.583496,2.061016,92.601858
64123,1404.07,1.002197,-0.658691,-2.077881,22.705078,40.344238,-23.742676,2.399138,52.027808
64143,1435.58,0.937378,-0.756836,-2.142578,80.139160,-46.447754,1.098633,2.458072,92.633071
64163,1451.38,0.814087,-0.625854,-1.763062,81.115723,-102.050781,14.038086,2.040298,131.115179
64183,1469.14,0.703491,-0.481567,-1.230469,45.715332,-155.029297,23.620605,1.496950,163.345975
64203,1483.21,0.716919,-0.192993,-0.371582,48.522949,-167.968750,22.277832,0.830236,176.250615
64223,1514.71,0.792236,-0.109985,0.062744,60.546875,-164.550781,15.075684,0.802292,175.983408
64243,1530.52,0.714233,-0.005737,0.431152,32.958984,-137.817383,1.464844,0.834299,141.711225
64263,1546.23,0.773682,-0.031372,0.526978,0.488281,-112.548828,-4.089355,0.936628,112.624154
64283,1577.66,0.870605,-0.117676,0.484253,-4.577637,-72.753906,-14.160156,1.003146,74.260324
64303,1593.41,0.864502,-0.075317,0.309814,-1.647949,-48.217773,-20.324707,0.921424,52.352298
64323,1609.23,0.920776,-0.016724,0.153198,7.263184,-23.803711,-28.503418,0.933584,37.839336
64343,1624.98,0.865234,-0.150879,-0.100220,53.222656,-16.052246,-30.334473,0.883990,63.328556
64363,1656.52,0.791016,-0.251465,-0.210693,57.312012,-20.690918,-29.174805,0.856348,67.557013
64383,1672.25,0.781616,-0.338013,-0.619385,-5.249023,-46.447754,-23.864746,1.053002,52.483066
64404,1688.00,0.776611,-0.230225,-0.713135,-44.250488,-72.814941,-18.310547,1.079208,87.151578
64423,1703.74,0.793457,-0.223389,-0.590698,26.000977,-110.900879,-10.803223,1.014101,114.419253
64443,1735.18,0.846191,-0.302002,-0.388672,66.223145,-129.333496,-8.056641,0.978934,145.525144
64463,1750.95,0.897095,-0.309692,-0.343628,62.438965,-138.977051,-7.995605,1.009341,152.568590
64483,1769.36,0.831177,-0.240234,-0.165161,30.883789,-142.822266,-10.803223,0.880821,146.522072
64503,1798.28,0.777710,-0.211670,-0.037720,30.639648,-143.371582,-13.488770,0.806883,147.228209
64523,1814.08,0.780273,-0.217163,0.003174,42.907715,-143.859863,-20.690918,0.809936,151.541566
64543,1829.82,0.693604,-0.247559,0.042725,28.930664,-144.531250,-26.672363,0.737697,149.792124
64564,1845.55,0.665771,-0.264282,0.030762,18.249512,-144.165039,-34.545898,0.716968,149.365398
64583,1877.52,0.522827,-0.243286,0.091553,32.165527,-144.775391,-36.071777,0.583882,152.629316
64603,1893.25,0.477173,-0.340942,0.158691,53.405762,-148.742676,-36.193848,0.607551,162.131285
64623,1908.98,0.382080,-0.304565,0.240967,55.664062,-154.846191,-41.137695,0.544803,169.611736
64643,1924.76,0.293457,-0.325073,0.268433,39.855957,-156.860352,-43.212891,0.513659,167.514242
64663,1956.29,0.236450,-0.429810,0.356323,23.071289,-157.287598,-43.945312,0.606310,164.932905
64683,1972.20,0.146118,-0.397095,0.464478,13.427734,-159.240723,-44.372559,0.628311,165.851849
64703,1987.90,0.144165,-0.345825,0.325073,14.526367,-157.287598,-46.081543,0.496036,164.541522
64723,2003.62,0.048096,-0.214111,0.503662,13.122559,-146.606445,-44.982910,0.549393,153.912682
64743,2035.07,-0.114258,-0.169067,0.600342,28.747559,-143.920898,-44.616699,0.634073,153.395883
64763,2050.81,-0.189331,-0.136597,0.552979,55.725098,-140.136719,-51.452637,0.600242,159.345412
64783,2069.76,-0.373779,-0.113159,0.577271,59.753418,-132.995605,-62.866211,0.696963,158.778029
64803,2098.07,-0.722534,-0.243896,0.679688,63.476562,-128.295898,-84.167480,1.021526,166.052029
64823,2113.86,-1.288208,-0.565430,1.032471,94.970703,-121.948242,-132.080078,1.745046,203.312457
64843,2129.63,-1.850220,-0.593018,1.416626,97.900391,-114.929199,-164.306641,2.404540,223.136459
64863,2145.36,-2.548584,-1.050171,1.757568,102.172852,-83.496094,-203.552246,3.269126,242.578660
64883,2176.81,-3.999512,-1.083130,3.483398,135.925293,-29.663086,-219.177246,5.413255,259.604024
64903,2192.59,-3.999512,-0.937744,3.999512,142.456055,67.138672,-202.880859,5.733372,256.830629
64923,2208.39,-3.999512,-1.198364,3.999512,127.441406,401.489258,-148.071289,5.781718,446.497528
64943,2224.20,-3.999512,-0.164062,3.999512,114.990234,746.520996,-82.458496,5.658543,759.812974
64963,2255.67,-3.999512,-0.622681,-0.669556,283.935547,1258.544922,26.245117,4.102698,1290.443149
64983,2271.56,-3.999512,0.184937,-3.999512,141.723633,1165.649414,-7.934570,5.659186,1174.260236
65003,2287.28,-3.999512,-2.745239,-3.530396,-374.206543,631.164551,-183.959961,5.999677,756.465792
65023,2310.54,-0.257324,-3.129639,-3.999512,-593.688965,296.447754,-271.362305,5.084973,716.927722
65043,2334.81,-0.030640,-3.999512,-3.999512,-348.083496,-90.881348,-127.136230,5.656247,381.556235
65063,2357.64,-0.050171,-1.846558,1.639893,-185.546875,-287.414551,90.881348,2.470130,353.969188
65083,2369.85,0.576904,0.281372,3.999512,-39.123535,-178.527832,95.458984,4.050689,206.192278
65103,2382.92,0.554199,1.227051,3.999512,118.591309,97.106934,22.033691,4.220057,154.851989
65123,2414.46,-0.249268,-0.498169,1.059082,154.785156,215.270996,-18.188477,1.196646,265.764684
65143,2430.28,-0.112549,-1.614502,-1.728271,135.131836,231.811523,-43.090820,2.367743,271.760951
65163,2446.09,0.327637,-2.133423,-2.524658,62.011719,128.295898,-33.081055,3.321557,146.286182
65183,2477.77,0.483398,-2.016968,-2.302612,34.545898,38.940430,-4.455566,3.099009,52.245844
65203,2493.53,0.440308,-1.644409,-0.844971,59.448242,-37.475586,28.259277,1.900507,75.743645
65223,2509.26,0.333984,-1.398926,0.078247,60.058594,-54.077148,32.043457,1.440369,86.937655
65243,2525.02,0.311401,-1.567261,0.552979,66.467285,-32.287598,20.507812,1.690876,76.687413
65263,2556.62,0.203613,-1.377319,0.716309,12.207031,-14.038086,15.014648,1.565747,23.906466
65283,2572.32,0.170898,-1.318848,0.541992,20.507812,7.446289,22.827148,1.436078,31.576832
65303,2588.03,0.166382,-1.338867,0.108765,41.015625,30.395508,42.541504,1.353543,66.452599
65323,2603.77,0.171265,-1.259521,-0.214355,36.010742,32.958984,47.546387,1.289059,68.144898
65343,2635.37,0.165161,-1.334961,-0.444946,26.306152,14.953613,45.043945,1.416819,54.263996
65363,2651.17,0.078003,-1.353027,-0.383911,10.925293,-2.929688,45.959473,1.408600,47.330944
65383,2670.18,0.012573,-1.330811,-0.231689,3.967285,-15.625000,54.382324,1.350887,56.721400
65403,2682.76,0.036255,-1.152344,0.031250,41.564941,-22.888184,71.533203,1.153337,85.840040
65423,2714.24,0.044312,-1.030151,0.091797,65.002441,-22.705078,78.918457,1.035182,104.732807
65444,2730.00,0.036499,-1.061646,0.067749,70.495605,-18.920898,80.017090,1.064431,108.306812
65463,2745.73,0.045654,-1.166016,-0.095703,50.659180,-14.831543,78.430176,1.170827,94.538985
65483,2777.32,0.127319,-1.025757,-0.142456,21.057129,-7.934570,76.293945,1.043399,79.543235
65503,2793.08,0.042236,-0.997437,-0.183105,-17.517090,-4.455566,78.918457,1.014983,80.961864
65523,2809.11,-0.018433,-0.860474,-0.184082,-31.921387,-5.187988,81.237793,0.880137,87.438373
65543,2824.88,0.117920,-0.701538,-0.069580,-26.123047,-9.460449,81.604004,0.714774,86.203986
65563,2856.46,0.139038,-0.615967,-0.107300,-2.075195,-11.169434,82.092285,0.640515,82.874640
65583,2872.36,-0.067383,-0.655762,-0.076904,44.372559,-13.854980,80.749512,0.663685,93.173859
65603,2888.09,0.128784,-0.702026,-0.070435,80.688477,-14.831543,80.322266,0.717208,114.814073
65623,2903.81,0.088623,-0.794312,-0.199341,80.749512,-17.700195,75.805664,0.823724,112.161844
65643,2935.29,0.108643,-0.794312,0.005127,56.701660,-21.789551,66.955566,0.801723,90.404152
65663,2953.39,0.487549,-0.673096,-0.229492,43.029785,-17.395020,62.683105,0.862223,77.995646
65683,2970.68,0.499878,-0.623413,-0.036987,34.179688,-11.169434,58.227539,0.799931,68.435763
65703,2983.25,0.649780,-0.465088,-0.184570,14.892578,-5.981445,57.434082,0.820114,59.634221
65723,3014.82,0.675659,-0.547852,-0.182495,-10.925293,-0.244141,57.556152,0.888798,58.584403
65743,3030.63,0.311157,-0.523071,-0.008179,-42.724609,6.958008,54.199219,0.608678,69.363978
65764,3046.35,0.403442,-0.361938,0.036743,-33.874512,7.080078,51.391602,0.543245,61.957298
65783,3077.77,0.527466,-0.376343,0.048828,-13.305664,5.432129,49.987793,0.649799,52.012769
65803,3093.52,0.510254,-0.405884,0.014893,-14.770508,6.896973,48.889160,0.652168,51.535290
65823,3109.24,0.469604,-0.352417,0.111694,-15.258789,10.437012,44.128418,0.597664,47.844322
