timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
84689,31.46,0.794800,-0.065552,-0.364624,117.065430,-150.939941,0.366211,0.876900,191.016530
84709,47.10,0.674927,-0.027222,-0.255005,96.374512,-142.761230,-9.277344,0.722007,172.496042
84729,62.96,0.499756,-0.013062,0.034912,62.988281,-140.502930,-13.427734,0.501144,154.560347
84749,94.97,0.729980,0.040039,0.171631,42.846680,-138.427734,-17.028809,0.750954,145.904270
84769,114.58,0.603638,0.136597,0.300415,24.169922,-129.394531,-20.446777,0.687958,133.211113
84789,133.71,0.565674,0.050049,0.605835,25.146484,-119.812012,-22.033691,0.830378,124.389499
84809,155.50,0.500854,0.151367,0.572754,41.931152,-102.294922,-23.193359,0.775767,112.961960
84829,174.94,0.556519,0.043213,0.688477,32.348633,-87.768555,-19.714355,0.886330,95.595026
84849,189.16,0.590576,-0.031494,0.722900,16.357422,-66.955566,-13.793945,0.934001,70.291437
84869,214.94,0.639282,-0.002563,0.549683,-13.244629,-30.029297,-2.014160,0.843113,32.882149
84889,234.80,0.772339,-0.036011,0.396973,-30.578613,0.061035,2.441406,0.869133,30.675981
84909,252.42,0.798828,-0.061768,-0.172119,-24.963379,44.494629,0.671387,0.819492,51.023456
84929,275.07,0.662231,-0.103394,-0.677979,-28.198242,62.988281,-1.220703,0.953360,69.022855
84949,294.22,0.621704,-0.171143,-1.454468,-42.480469,30.456543,-3.540039,1.591000,52.390105
84969,315.41,0.839478,-0.277344,-2.762207,-30.944824,-28.686523,-1.586914,2.900247,42.225787
84989,334.57,0.685059,-0.316528,-3.046021,-7.507324,-111.755371,9.582520,3.138110,112.416403
85009,354.47,0.187988,-0.256592,-2.429565,40.954590,-242.736816,34.301758,2.450299,248.545873
85029,373.68,-0.177368,-0.136719,-1.626831,63.293457,-309.570312,46.386719,1.642173,319.361187
85049,394.93,-0.560181,-0.027466,-0.870361,66.955566,-363.342285,49.438477,1.035416,372.753038
85069,413.85,-0.795166,0.076904,0.066162,75.195312,-375.305176,39.428711,0.801611,384.789466
85089,430.02,-0.785156,-0.002197,0.310791,64.331055,-372.863770,24.047852,0.844432,379.136090
85109,455.38,-1.076172,0.061523,0.645386,-3.112793,-356.079102,9.155273,1.256365,356.210380
85129,475.18,-1.225708,0.056152,0.860107,-13.061523,-345.581055,5.310059,1.498432,345.868567
85149,491.69,-1.107422,0.077637,1.027344,-6.591797,-330.078125,0.610352,1.512563,330.144503
85169,514.66,-1.230225,0.017700,1.170166,4.333496,-315.612793,-1.953125,1.697956,315.648585
85189,534.47,-1.384277,-0.056763,1.222656,28.930664,-298.706055,-6.347656,1.847792,300.170923
85209,551.86,-1.639404,-0.108398,1.314575,31.982422,-272.827148,-13.793945,2.104164,275.041454
85229,571.76,-1.999512,-0.085693,1.409180,28.686523,-252.868652,-18.554688,2.447688,255.166119
85249,583.41,-3.766357,-0.298218,1.401733,47.424316,-218.811035,-34.667969,4.029794,226.559491
85269,615.47,-3.999512,-0.397217,2.377563,48.156738,-191.162109,-53.771973,4.669763,204.336606
85289,631.24,-3.999512,0.101196,3.999512,-23.559570,-140.380859,-55.358887,5.657069,152.729975
85309,646.99,-3.999512,-0.727539,3.999512,30.883789,183.105469,-45.104980,5.702763,191.091288
85329,662.75,-3.999512,-0.789917,3.999512,-54.687500,760.681152,-35.888672,5.711056,763.488399
85349,694.60,-3.999512,-0.326538,-0.358887,-75.561523,1673.156738,-64.147949,4.028836,1676.090085
85369,710.33,-3.999512,-3.997314,-3.999512,145.080566,1931.579590,13.610840,6.926089,1937.068233
85389,726.04,-3.999512,3.753906,1.380981,1138.854980,1253.295898,154.418945,5.656414,1700.466550
85409,741.95,-2.654785,2.916260,-3.999512,-348.632812,1064.636230,311.279297,5.616810,1162.708021
85429,773.99,0.222900,3.999512,-3.999512,-144.226074,-85.021973,129.821777,5.660554,211.857476
85449,795.21,0.232056,2.802246,-3.999512,-267.883301,-439.880371,-152.770996,4.889021,537.210556
85469,814.37,0.073608,0.442505,1.294556,-254.516602,-414.428711,-244.201660,1.370074,544.209801
85489,834.41,0.800415,0.121338,3.999512,-121.154785,-105.163574,-148.315430,4.080623,218.484155
85509,853.93,0.951172,-1.588623,3.911133,-27.282715,162.780762,-76.843262,4.327287,182.062653
85529,873.71,0.543945,-1.990845,-1.205688,64.758301,255.615234,15.625000,2.390193,264.153225
85549,892.25,0.743042,-0.500366,-3.999023,34.667969,202.819824,59.143066,4.098130,214.092624
85569,906.77,1.176880,-0.064087,-3.999512,43.945312,94.299316,65.063477,4.169562,122.706184
85589,932.96,1.108521,0.279175,-2.756836,18.188477,-36.560059,11.352539,2.984443,42.383236
