timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
47403,25.30,-0.277222,-0.315552,-0.890381,-22.094727,6.530762,-0.549316,0.984481,23.046248
47423,45.20,-0.328979,-0.326660,-0.847534,-13.854980,9.155273,-0.976562,0.966048,16.635300
47443,65.12,-0.340332,-0.356812,-0.821777,-8.117676,13.366699,-1.647949,0.958362,15.725172
47463,84.13,-0.361084,-0.373047,-0.824463,-10.559082,21.728516,-2.380371,0.974312,24.275271
47483,105.13,-0.341309,-0.367065,-0.842651,-15.991211,27.526855,-3.662109,0.980454,32.044620
47503,125.15,-0.320923,-0.381348,-0.920166,-13.488770,35.827637,-5.554199,1.046481,38.683531
47523,147.81,-0.355591,-0.422485,-0.988647,-4.211426,37.536621,-5.310059,1.132414,38.143555
47543,163.79,-0.360840,-0.446533,-1.071777,9.887695,30.883789,-2.441406,1.215855,32.519770
47563,185.24,-0.329590,-0.460083,-1.126587,10.803223,22.644043,-0.305176,1.260755,25.090943
47583,204.88,-0.330078,-0.437134,-1.125732,9.521484,13.061523,2.441406,1.251923,16.346942
47603,221.81,-0.336670,-0.384644,-1.083252,9.887695,-2.502441,5.432129,1.197803,11.555810
47623,243.79,-0.356689,-0.344727,-1.031372,10.375977,-11.291504,5.920410,1.144461,16.438072
47643,265.31,-0.361084,-0.313721,-0.961670,7.812500,-21.179199,3.051758,1.074063,22.779527
47663,284.85,-0.383789,-0.274658,-0.841797,2.319336,-23.925781,-1.037598,0.965066,24.060319
47683,305.34,-0.400879,-0.246826,-0.768311,-4.028320,-24.291992,-5.737305,0.901071,25.283293
47703,323.87,-0.413330,-0.247803,-0.649780,-11.718750,-19.592285,-15.075684,0.808988,27.358051
47723,345.24,-0.385742,-0.241943,-0.605835,-25.634766,-13.977051,-22.155762,0.757872,36.652107
47743,365.05,-0.350098,-0.235229,-0.590698,-49.987793,-1.892090,-32.409668,0.725828,59.604916
47763,385.36,-0.286499,-0.286621,-0.606689,-53.039551,9.643555,-39.978027,0.729593,67.115086
47783,403.74,-0.384399,-0.344360,-0.622314,-44.372559,19.348145,-48.583984,0.808469,68.583367
47803,425.24,-0.382690,-0.441162,-0.738037,-35.461426,26.245117,-50.415039,0.941156,66.992500
47823,445.28,-0.388916,-0.526001,-0.816772,-35.583496,26.184082,-49.438477,1.046446,66.301993
47843,465.34,-0.383789,-0.588989,-0.914795,-34.729004,19.592285,-42.907715,1.153712,58.575023
47863,483.99,-0.384277,-0.616089,-0.976685,-24.230957,12.329102,-35.644531,1.217024,44.829439
47883,505.02,-0.390137,-0.639038,-1.014771,3.662109,1.098633,-23.132324,1.261085,23.446161
47903,525.34,-0.419434,-0.632935,-1.029297,20.263672,-6.408691,-14.892578,1.279055,25.951428
47923,546.91,-0.423950,-0.596680,-1.012451,29.846191,-13.183594,-8.178711,1.249327,33.637681
47943,563.02,-0.441162,-0.538330,-0.934570,31.982422,-18.432617,-4.394531,1.165266,37.174569
47963,585.07,-0.399414,-0.496582,-0.880493,22.705078,-19.470215,-5.737305,1.086919,30.455320
47983,605.05,-0.384155,-0.427124,-0.808716,-2.563477,-16.174316,-10.070801,0.991984,19.225008
48003,627.11,-0.288330,-0.347900,-0.730103,-16.784668,-11.657715,-14.648438,0.858614,25.143669
48023,643.16,-0.297729,-0.311768,-0.656982,-30.212402,-5.798340,-19.042969,0.785791,36.180722
48043,664.97,-0.302612,-0.243408,-0.563110,-39.001465,1.159668,-25.390625,0.684043,46.552582
48063,684.97,-0.320557,-0.192383,-0.519897,-39.062500,7.690430,-26.855469,0.640360,48.023305
48083,706.91,-0.387939,-0.049561,-0.444946,-11.230469,26.367188,-36.621094,0.592394,46.502221
48103,722.31,-0.399658,-0.167725,-0.514648,-2.929688,38.635254,-41.076660,0.672846,56.467317
48123,744.98,-0.426025,-0.377441,-0.725586,-13.854980,53.955078,-44.555664,0.922190,71.332448
48143,764.97,-0.506104,-0.468018,-0.875366,-23.132324,56.579590,-42.053223,1.114203,74.194528
48163,786.11,-0.521729,-0.559692,-1.098999,-23.132324,53.649902,-35.461426,1.339125,68.344196
48183,802.02,-0.509521,-0.653320,-1.277588,8.239746,41.870117,-18.615723,1.522718,46.556903
48203,825.15,-0.476929,-0.683960,-1.407715,29.724121,27.770996,-6.591797,1.636131,41.209263
48223,845.14,-0.497681,-0.664795,-1.463379,22.583008,3.295898,6.591797,1.682592,23.755146
48243,865.61,-0.489258,-0.537354,-1.397095,6.286621,-12.390137,11.901855,1.574800,18.294569
48263,881.70,-0.513306,-0.417236,-1.276978,-3.112793,-24.841309,13.793945,1.438138,28.584139
48283,907.06,-0.550781,-0.273071,-1.097290,-1.281738,-38.452148,12.207031,1.257765,40.363625
48303,924.82,-0.571289,-0.231689,-0.984009,9.704590,-43.334961,9.948730,1.161174,45.509067
48323,944.92,-0.575195,-0.214111,-0.859131,16.723633,-45.288086,3.723145,1.055840,48.420579
48343,965.09,-0.530396,-0.209473,-0.806396,8.911133,-42.663574,-1.098633,0.987661,43.598117
48363,985.30,-0.510986,-0.207886,-0.763794,-1.647949,-38.391113,-7.324219,0.942181,39.118250
48383,1005.05,-0.473877,-0.227417,-0.753662,-16.418457,-33.142090,-12.145996,0.918850,38.929283
48403,1025.25,-0.454468,-0.238892,-0.764526,-26.123047,-30.578613,-15.625000,0.920929,43.146330
48423,1045.11,-0.445801,-0.252686,-0.769653,-28.808594,-28.137207,-16.784668,0.924638,43.627544
48443,1065.13,-0.437988,-0.289551,-0.759277,-18.249512,-27.282715,-16.052246,0.923134,36.538552
48463,1085.14,-0.434692,-0.334473,-0.743896,-6.958008,-25.390625,-12.390137,0.924236,29.096618
48483,1104.71,-0.418335,-0.376587,-0.727051,-5.493164,-23.742676,-9.155273,0.919470,26.032836
48503,1125.44,-0.416504,-0.388916,-0.701782,-6.164551,-21.484375,-5.798340,0.904007,23.091141
48523,1145.06,-0.398926,-0.377075,-0.687256,-11.291504,-16.723633,-1.770020,0.879573,20.256133
48543,1167.64,-0.410400,-0.371216,-0.685913,-16.296387,-12.878418,-0.122070,0.881309,20.771152
48563,1183.33,-0.424072,-0.348999,-0.690918,-20.202637,-6.408691,0.854492,0.882613,21.211978
48583,1205.19,-0.454468,-0.332520,-0.700928,-12.573242,-2.746582,1.403809,0.899116,12.946073
48603,1222.59,-0.460205,-0.361694,-0.711426,0.549316,1.281738,2.258301,0.921270,2.654152
48623,1246.98,-0.448853,-0.409668,-0.744141,10.620117,7.629395,3.906250,0.960751,13.647466
48643,1263.01,-0.422119,-0.419678,-0.780273,8.911133,11.779785,5.065918,0.981397,15.615222
48663,1285.97,-0.395752,-0.411011,-0.846069,-1.037598,15.075684,7.385254,1.020482,16.819477
48683,1301.68,-0.385742,-0.381958,-0.874512,-5.065918,14.099121,8.789062,1.029301,17.369409
48703,1327.28,-0.376587,-0.362183,-0.888794,14.892578,9.033203,10.498047,1.030994,20.337075
48723,1346.34,-0.380615,-0.346802,-0.878296,13.610840,4.638672,11.230469,1.018108,18.245429
48743,1365.33,-0.387207,-0.337524,-0.865356,18.249512,0.488281,10.925293,1.006327,21.275458
48763,1385.06,-0.421997,-0.316895,-0.813232,12.207031,-3.417969,8.911133,0.969459,15.495238
48783,1407.06,-0.422974,-0.298584,-0.777832,4.455566,-4.211426,5.493164,0.934388,8.231830
